sepal_length,sepal_width,petal_length,petal_width,species,feature_sum
5.1,3.5,1.4,0.2,setosa,10.2
4.9,3.0,1.4,0.2,setosa,9.5
4.7,3.2,1.3,0.2,setosa,9.4
4.6,3.1,1.5,0.2,setosa,9.399999999999999
5.0,3.6,1.4,0.2,setosa,10.2
5.4,3.9,1.7,0.4,setosa,11.4
4.6,3.4,1.4,0.3,setosa,9.700000000000001
5.0,3.4,1.5,0.2,setosa,10.1
4.4,2.9,1.4,0.2,setosa,8.9
4.9,3.1,1.5,0.1,setosa,9.6
5.4,3.7,1.5,0.2,setosa,10.8
4.8,3.4,1.6,0.2,setosa,9.999999999999998
4.8,3.0,1.4,0.1,setosa,9.299999999999999
4.3,3.0,1.1,0.1,setosa,8.5
5.8,4.0,1.2,0.2,setosa,11.2
5.7,4.4,1.5,0.4,setosa,12.000000000000002
5.4,3.9,1.3,0.4,setosa,11.000000000000002
5.1,3.5,1.4,0.3,setosa,10.3
5.7,3.8,1.7,0.3,setosa,11.5
5.1,3.8,1.5,0.3,setosa,10.7
5.4,3.4,1.7,0.2,setosa,10.7
5.1,3.7,1.5,0.4,setosa,10.700000000000001
4.6,3.6,1.0,0.2,setosa,9.399999999999999
5.1,3.3,1.7,0.5,setosa,10.599999999999998
4.8,3.4,1.9,0.2,setosa,10.299999999999999
5.0,3.0,1.6,0.2,setosa,9.799999999999999
5.0,3.4,1.6,0.4,setosa,10.4
5.2,3.5,1.5,0.2,setosa,10.399999999999999
5.2,3.4,1.4,0.2,setosa,10.2
4.7,3.2,1.6,0.2,setosa,9.7
4.8,3.1,1.6,0.2,setosa,9.7
5.4,3.4,1.5,0.4,setosa,10.700000000000001
5.2,4.1,1.5,0.1,setosa,10.9
5.5,4.2,1.4,0.2,setosa,11.299999999999999
4.9,3.1,1.5,0.2,setosa,9.7
5.0,3.2,1.2,0.2,setosa,9.599999999999998
5.5,3.5,1.3,0.2,setosa,10.5
4.9,3.6,1.4,0.1,setosa,10.0
4.4,3.0,1.3,0.2,setosa,8.9
5.1,3.4,1.5,0.2,setosa,10.2
5.0,3.5,1.3,0.3,setosa,10.100000000000001
4.5,2.3,1.3,0.3,setosa,8.4
4.4,3.2,1.3,0.2,setosa,9.1
5.0,3.5,1.6,0.6,setosa,10.7
5.1,3.8,1.9,0.4,setosa,11.2
4.8,3.0,1.4,0.3,setosa,9.5
5.1,3.8,1.6,0.2,setosa,10.699999999999998
4.6,3.2,1.4,0.2,setosa,9.399999999999999
5.3,3.7,1.5,0.2,setosa,10.7
5.0,3.3,1.4,0.2,setosa,9.9
7.0,3.2,4.7,1.4,versicolor,16.299999999999997
6.4,3.2,4.5,1.5,versicolor,15.600000000000001
6.9,3.1,4.9,1.5,versicolor,16.4
5.5,2.3,4.0,1.3,versicolor,13.100000000000001
6.5,2.8,4.6,1.5,versicolor,15.4
5.7,2.8,4.5,1.3,versicolor,14.3
6.3,3.3,4.7,1.6,versicolor,15.9
4.9,2.4,3.3,1.0,versicolor,11.600000000000001
6.6,2.9,4.6,1.3,versicolor,15.4
5.2,2.7,3.9,1.4,versicolor,13.200000000000001
5.0,2.0,3.5,1.0,versicolor,11.5
5.9,3.0,4.2,1.5,versicolor,14.600000000000001
6.0,2.2,4.0,1.0,versicolor,13.2
6.1,2.9,4.7,1.4,versicolor,15.1
5.6,2.9,3.6,1.3,versicolor,13.4
6.7,3.1,4.4,1.4,versicolor,15.600000000000001
5.6,3.0,4.5,1.5,versicolor,14.6
5.8,2.7,4.1,1.0,versicolor,13.6
6.2,2.2,4.5,1.5,versicolor,14.4
5.6,2.5,3.9,1.1,versicolor,13.1
5.9,3.2,4.8,1.8,versicolor,15.700000000000003
6.1,2.8,4.0,1.3,versicolor,14.2
6.3,2.5,4.9,1.5,versicolor,15.200000000000001
6.1,2.8,4.7,1.2,versicolor,14.799999999999997
6.4,2.9,4.3,1.3,versicolor,14.900000000000002
6.6,3.0,4.4,1.4,versicolor,15.4
6.8,2.8,4.8,1.4,versicolor,15.799999999999999
6.7,3.0,5.0,1.7,versicolor,16.4
6.0,2.9,4.5,1.5,versicolor,14.9
5.7,2.6,3.5,1.0,versicolor,12.8
5.5,2.4,3.8,1.1,versicolor,12.799999999999999
5.5,2.4,3.7,1.0,versicolor,12.600000000000001
5.8,2.7,3.9,1.2,versicolor,13.6
6.0,2.7,5.1,1.6,versicolor,15.399999999999999
5.4,3.0,4.5,1.5,versicolor,14.4
6.0,3.4,4.5,1.6,versicolor,15.5
6.7,3.1,4.7,1.5,versicolor,16.0
6.3,2.3,4.4,1.3,versicolor,14.3
5.6,3.0,4.1,1.3,versicolor,14.0
5.5,2.5,4.0,1.3,versicolor,13.3
5.5,2.6,4.4,1.2,versicolor,13.7
6.1,3.0,4.6,1.4,versicolor,15.1
5.8,2.6,4.0,1.2,versicolor,13.6
5.0,2.3,3.3,1.0,versicolor,11.6
5.6,2.7,4.2,1.3,versicolor,13.8
5.7,3.0,4.2,1.2,versicolor,14.099999999999998
5.7,2.9,4.2,1.3,versicolor,14.100000000000001
6.2,2.9,4.3,1.3,versicolor,14.7
5.1,2.5,3.0,1.1,versicolor,11.7
5.7,2.8,4.1,1.3,versicolor,13.9
6.3,3.3,6.0,2.5,virginica,18.1
5.8,2.7,5.1,1.9,virginica,15.5
7.1,3.0,5.9,2.1,virginica,18.1
6.3,2.9,5.6,1.8,virginica,16.599999999999998
6.5,3.0,5.8,2.2,virginica,17.5
7.6,3.0,6.6,2.1,virginica,19.3
4.9,2.5,4.5,1.7,virginica,13.6
7.3,2.9,6.3,1.8,virginica,18.3
6.7,2.5,5.8,1.8,virginica,16.8
7.2,3.6,6.1,2.5,virginica,19.4
6.5,3.2,5.1,2.0,virginica,16.799999999999997
6.4,2.7,5.3,1.9,virginica,16.3
6.8,3.0,5.5,2.1,virginica,17.400000000000002
5.7,2.5,5.0,2.0,virginica,15.2
5.8,2.8,5.1,2.4,virginica,16.099999999999998
6.4,3.2,5.3,2.3,virginica,17.200000000000003
6.5,3.0,5.5,1.8,virginica,16.8
7.7,3.8,6.7,2.2,virginica,20.4
7.7,2.6,6.9,2.3,virginica,19.500000000000004
6.0,2.2,5.0,1.5,virginica,14.7
6.9,3.2,5.7,2.3,virginica,18.1
5.6,2.8,4.9,2.0,virginica,15.299999999999999
7.7,2.8,6.7,2.0,virginica,19.2
6.3,2.7,4.9,1.8,virginica,15.700000000000001
6.7,3.3,5.7,2.1,virginica,17.8
7.2,3.2,6.0,1.8,virginica,18.2
6.2,2.8,4.8,1.8,virginica,15.600000000000001
6.1,3.0,4.9,1.8,virginica,15.8
6.4,2.8,5.6,2.1,virginica,16.9
7.2,3.0,5.8,1.6,virginica,17.6
7.4,2.8,6.1,1.9,virginica,18.199999999999996
7.9,3.8,6.4,2.0,virginica,20.1
6.4,2.8,5.6,2.2,virginica,17.0
6.3,2.8,5.1,1.5,virginica,15.7
6.1,2.6,5.6,1.4,virginica,15.7
7.7,3.0,6.1,2.3,virginica,19.099999999999998
6.3,3.4,5.6,2.4,virginica,17.7
6.4,3.1,5.5,1.8,virginica,16.8
6.0,3.0,4.8,1.8,virginica,15.600000000000001
6.9,3.1,5.4,2.1,virginica,17.5
6.7,3.1,5.6,2.4,virginica,17.8
6.9,3.1,5.1,2.3,virginica,17.4
5.8,2.7,5.1,1.9,virginica,15.5
6.8,3.2,5.9,2.3,virginica,18.2
6.7,3.3,5.7,2.5,virginica,18.2
6.7,3.0,5.2,2.3,virginica,17.2
6.3,2.5,5.0,1.9,virginica,15.700000000000001
6.5,3.0,5.2,2.0,virginica,16.7
6.2,3.4,5.4,2.3,virginica,17.3
5.9,3.0,5.1,1.8,virginica,15.8
